1,91,344
1,411,54
1,262,66
1,229,709
246,507,1
18,302,12
24,57,220
246,511,1
18,166,131
1,176,6
25,66,131
18,60,455
1,163,350
24,339,2916
1,96,941
24,195,339
1,222,140
25,247,12
1,212,73
18,23,5294
7,349,21
14,20,8066
1,29,5484
7,94,339
1,185,18
14,304,9
1,175,104
472,468,2
25,154,27
25,127,6
24,8,4112
25,84,9173
14,469,72
1,119,12881
1,467,15
18,382,489
440,441,2
25,69,2603
7,3,38
1,223,483
7,83,10842
18,284,132
1,170,50
1,473,50
25,26,25
25,121,25
502,503,1
243,1,6
25,27,30
25,35,40
1,192,172
1,174,74
14,226,68
24,183,27
25,89,11493
24,398,17
7,257,3
7,228,76
24,110,19
1,345,3
1,2,36
18,395,6
25,228,75
24,308,47
1,477,215
25,249,216
14,305,9
7,77,4219
24,296,32
1,143,74
24,155,8
1,392,17
24,80,9615
7,82,117
7,61,542
1,449,47
1,22,1911
7,69,2567
7,395,6
8,195,1
1,460,30
1,299,30
1,408,248
1,332,67
24,240,41
7,351,331
1,388,9
7,105,37
1,201,3
25,73,189
18,311,17
25,170,44
352,353,2
7,15,25710
7,96,236
25,167,134
18,282,279
1,193,116
18,360,139
1,514,6
1,242,28
1,371,254
1,403,378
18,216,18
24,469,96
1,99,62
18,29,1633
1,316,26
18,28,24
18,389,201
24,329,41
1,137,860
1,116,482
1,519,401
14,23,5272
1,248,57
1,32,389
25,257,3
18,48,157
1,209,2
243,7,6
18,27,29
39,1,72
24,153,246
24,151,114
25,314,24
14,60,418
18,290,34
24,227,30
14,147,125
7,159,79
188,274,1
18,358,39
18,80,95
18,86,395
18,96,47
14,27,33
7,70,849
1,259,32
18,111,6
7,48,343
25,326,6
24,98,45
7,311,43
1,404,378
25,432,16
24,81,31707
14,195,314
197,198,5
25,126,20
24,306,19
25,45,430
24,163,19
1,221,91
25,469,60
1,490,1
1,481,1564
1,253,9
1,13,10155
25,71,167
1,278,35
188,189,1
18,183,25
1,530,2
