7,249,156
17,1,30
7,195,207
1,531,2
461,462,6
24,71,228
24,3,24
14,15,26078
1,102,1365
18,303,40
1,264,1172
7,84,1685
204,257,2
18,153,72
18,340,1998
18,228,107
1,430,26
18,242,30
24,302,120
24,19,1409
18,83,4272
211,1,2378093
1,475,41
385,18,4
246,500,1
1,177,37
1,416,120
25,171,186
1,294,42
14,160,3
1,413,120
1,37,138
241,24,8
1,457,60
24,311,10
24,132,38
51,7,2
7,375,17
1,207,276
1,386,77
7,309,18
1,466,15
18,53,3
7,146,6
1,235,26
1,269,54
14,159,92
249,468,2
1,258,25
385,7,14
25,396,36
1,66,282
18,84,39025
18,421,24
7,151,111
1,115,236
24,166,116
14,379,38
7,27,34
7,64,17
1,247,16
14,70,482
492,508,2
25,160,76
18,464,124
7,314,6
18,89,2882
25,85,84
1,117,30
1,436,189
1,287,9
1,42,17
7,226,61
18,35,19
241,18,8
14,247,18
1,454,3
18,318,15
243,25,6
14,234,3
24,337,41
16,30,6
1,61,173
1,366,14
114,1,65
14,156,47
7,88,7421
7,111,6
7,45,1179
1,459,30
1,148,118
25,304,95
24,45,525
24,314,63
24,65,232
18,313,57
18,43,2080
1,205,200
7,63,194
1,110,193
7,219,10
25,48,320
25,303,103
24,395,21
25,70,958
18,231,43
24,43,2232
18,159,136
1,288,301
1,384,62
24,82,3125
1,244,113
1,8,21435
1,376,340
14,26,23
18,226,72
18,109,151
18,219,13
14,47,17
1,196,16
24,63,184
1,333,41
14,303,81
1,38,9663
1,230,24
492,493,2
18,422,25
18,124,13
25,146,53
18,357,39
1,267,798
1,296,76
1,292,26
7,1,72
7,315,9
1,322,53
1,482,6
1,485,3
1,131,254
14,242,9
25,81,15767
24,165,47
18,116,62
1,182,91
40,1,593
24,226,77
1,414,120
1,368,1355
1,250,74
40,510,1
18,66,305
1,407,175
1,367,14
25,313,12
1,512,9
25,80,17190
1,76,16
24,72,329
1,373,228
25,97,243
492,501,1
1,522,54
14,389,185
18,426,14
24,85,10706
14,29,1350
18,301,358
7,78,8756
1,487,27
18,288,21
7,106,39
25,79,84
24,48,48
24,94,440
7,28,26
18,245,132
25,53,58
1,293,230
1,101,125
1,100,546
18,295,477
1,218,103
1,515,27
25,95,551
24,297,3
24,290,94
25,159,9
1,53,239
25,116,19
1,428,18
188,272,2
18,85,17224
7,95,91
1,469,60
25,434,10
14,19,1411
24,324,38
1,21,23
14,146,24
1,10,6
1,425,9
1,361,9
24,78,1272
214,187,3
1,464,3
1,529,14
18,168,47
24,84,7072
25,318,12
7,72,24
1,450,125
1,306,676
7,71,263
1,126,129
7,310,12
1,166,78
1,178,164
14,227,29
18,331,282
1,67,42
25,3,24
7,73,231
18,257,3
7,236,37
1,159,1878
1,412,120
492,339,2
243,18,6
1,391,120
25,76,31
24,315,18
18,304,48
24,138,66
25,315,21
7,85,3411
1,195,373
1,30,1451
24,359,556
1,382,1893
471,468,2
7,50,366
502,509,1
1,517,6
1,72,357
1,164,266
14,40,7277
24,446,3
18,3,50
25,65,79
14,219,20
7,66,136
1,68,89
1,9,10
241,7,8
246,1,88
18,26,20
40,495,3
24,164,98
1,162,24
1,147,165
1,520,2
1,60,580
18,319,3
0,1,57241
3,187,11
7,46,20
1,226,157
18,79,42
7,313,12
7,65,76
18,315,9
1,23,5955
1,74,73
24,111,31
1,330,82
1,268,130
24,355,47
1,334,3
1,266,14
18,338,137
1,63,1507
24,309,12
25,23,5247
1,146,25
24,358,3
14,69,1516
18,381,3
18,77,3594
7,43,2279
1,186,19
24,219,22
1,526,13
1,139,90
18,468,74
1,478,69
1,11,6
25,61,518
1,252,81
25,264,10
25,468,110
25,83,6560
1,136,1945
24,27,24
18,200,22
1,402,378
381,468,1
213,187,7
14,318,9
246,506,1
7,158,59
18,55,3
1,437,9
24,344,198
24,73,226
25,226,77
1,120,3036
1,405,168
1,149,105
1,4,261
1,444,53
1,286,91
7,23,5301
25,19,1725
24,343,53
18,20,8629
1,369,48
1,291,151
18,81,24467
7,420,14
14,396,27
1,58,281
25,418,6
25,151,183
14,375,18
18,380,51
1,19,5144
25,302,29
1,142,18
1,160,966
7,19,1482
1,442,11
1,172,611
